id;index;location;name
1;33281;array Belize Dollar;optical
2;62007;Rwanda Customer;Liaison copy program
3;77857;Steel salmon application;USB scalable
4;82125;Fantastic indexing;Investment Account
5;50228;Cameroon Bedfordshire models;driver payment Mexican Peso Mexican Unidad de Inversion (UDI)
6;54272;Persistent transparent Chips;front-end Intuitive vortals
7;28792;Savings Account Customer Granite;Money Market Account
8;1811;HDD Security Virginia;solid state Clothing deposit
9;77124;maximize Practical Steel Fish;Configuration
10;92556;Coves Concrete Officer;yellow programming strategy
