id;name;street_address;postal_code;city;country
1;deposit Canadian Dollar Lebanon;Designer Persistent;Handmade 24/7 Re-contextualized;Hilllview;New Caledonia
2;withdrawal Solomon Islands Licensed;Gloves Bedfordshire Argentine Peso;Kentucky Algerian Dinar Clothing;Raleighberg;Guam
3;Rustic Quality;synthesize Creative;Forint;Bessieville;Tuvalu
4;SMS Enhanced;Bacon Designer;Equatorial Guinea Vision-oriented;Port Spencermouth;Tonga
5;deposit B2B cross-media;programming SCSI drive;invoice Unbranded Cheese;Ortizstad;Moldova
6;transform;invoice Home Gloves;Buckinghamshire Ports;Fadelville;Poland
7;Networked;Fish;payment calculating;Elouisemouth;Mali
8;Berkshire;dedicated Persevering;Coordinator Cambridgeshire Investor;Lake Federico;Libyan Arab Jamahiriya
9;North Dakota Cambridgeshire;Re-contextualized;local Shoes;Altheaville;Zambia
10;Villages uniform PCI;Automotive Tactics architectures;Wisconsin Facilitator Incredible;West Claud;Svalbard & Jan Mayen Islands
