id;name;address;parent_address
1;Strategist;card Licensed Cotton Ball;mindshare Gorgeous
2;Chips;navigating;Som Rustic Frozen Keyboard ROI
3;Benin;Tuna Response invoice;alarm Jamaica
4;system Gorgeous Rubber Pants;hack;leading-edge
5;Ergonomic Steel Gloves;Developer Shoes Music;Buckinghamshire Hollow Shoes
6;withdrawal Generic Frozen Tuna;Gorgeous Cotton Chair Personal Loan Account Borders;Norfolk Island Chilean Peso Unidades de fomento Checking Account
7;invoice Outdoors New York;multi-byte Jamaican Dollar North Carolina;Station
8;parsing Investment Account;Branding Dynamic black;yellow
9;Books Generic;robust withdrawal generate;Garden open-source hybrid
10;Solomon Islands Dollar;Personal Loan Account HTTP;schemas Specialist China
