id;model_id;subscribe;bind
1;Car Internal Small;Grocery Rand Namibia Dollar;Fresh incubate Agent
2;Jewelery Engineer Bedfordshire;Tanzanian Shilling Assurance Nebraska;Gardens synthesizing
3;silver;system;Buckinghamshire
4;Bouvet Island (Bouvetoya);Auto Loan Account asymmetric Montana;Applications
5;Montenegro;frictionless;Rubber Awesome Frozen Mouse
6;Trinidad and Tobago Dollar;Customer-focused;Shoes Rubber Mall
7;users scalable;transmitting parse infrastructures;matrix Implementation Shirt
8;Mobility;Arizona synthesizing Fresh;override back-end hacking
9;open-source;payment National;HDD
10;Tanzanian Shilling Lights;e-enable Plaza intranet;convergence Idaho customized
